latitude,longitude,mag,magType,depth,id,time,place
-6.405728209728329,-50.346271603304174,0.6713002690272536,ML,0.76,160,2023-12-20,Unknown
-6.39884275896259,-50.33784405967139,0.6479604185942143,ML,0.76,161,2023-12-20,Unknown
-6.40039455061868,-50.32776008218741,0.9276444208217944,ML,0.76,162,2023-12-20,Unknown
-6.398634231594103,-50.33049309651797,1.1149539270165465,ML,0.77,163,2023-12-29,Unknown
-6.401676564510365,-50.33281296868203,1.1271481105841943,ML,0.78,164,2023-12-29,Unknown
-6.401822115350394,-50.33344573093486,1.105499029468393,ML,0.79,165,2024-01-06,Unknown
-6.407947513197068,-50.334631363651866,1.1127275283179747,ML,0.78,166,2024-01-12,Unknown
-6.4065651456195845,-50.33587194235179,1.1180455380639898,ML,0.78,167,2024-01-19,Unknown
-6.401814324406267,-50.33441325224858,1.1050418773071362,ML,0.77,168,2024-01-19,Unknown
-6.405730027142675,-50.34770027697384,0.7769118930576071,ML,0.72,169,2024-03-15,Unknown
-6.4093001207129525,-50.338355037408334,1.0620703243413114,ML,0.76,170,2024-03-15,Unknown
-6.4088047994418424,-50.33305689545035,1.0783597616112388,ML,0.76,171,2024-03-15,Unknown
-6.409825754728926,-50.33912295639954,0.9799881860311914,ML,0.76,172,2024-03-20,Unknown
-6.408214731467394,-50.331439095436906,1.0783597616112388,ML,0.76,173,2024-03-22,Unknown
-6.4078447347258995,-50.33210870460379,1.0919739583695809,ML,0.76,174,2024-03-28,Unknown
-6.406539505183414,-50.337029383318544,1.087659711702762,ML,0.76,175,2024-03-28,Unknown
-6.410937696176155,-50.338606112048396,0.8373401352393302,ML,0.8,176,2022-04-20,Unknown
-6.404574899435674,-50.32874925652757,1.1470456462384808,ML,0.8,177,2022-04-26,Unknown
-6.401574814243859,-50.317332956118825,1.1577259755744387,ML,0.74,178,2022-04-30,Unknown
-6.411584698976254,-50.33529578250132,1.0995054120901862,ML,0.79,179,2022-04-30,Unknown
-6.409442331705033,-50.32944819348248,1.1856780108258058,ML,0.78,180,2022-05-06,Unknown
-6.411956153058296,-50.33574741852929,0.7298187706630155,ML,0.79,181,2022-05-06,Unknown
-6.400804027596077,-50.33658467532582,0.8235228231192404,ML,0.83,182,2022-05-11,Unknown
-6.403223720516194,-50.333091268051625,1.2054247148675676,ML,0.84,183,2022-05-18,Unknown
-6.400804027596077,-50.33658467532582,1.1421840505925407,ML,0.83,184,2022-06-03,Unknown
-6.404971626247619,-50.32777217995323,1.1470456462384808,ML,0.79,185,2022-08-18,Unknown
-6.401271863227549,-50.32767755577303,0.8485906397344529,ML,0.79,186,2022-08-19,Unknown
-6.401058295672983,-50.337352930216696,0.8962053328752826,ML,0.8,187,2022-10-21,Unknown
-6.403518972097937,-50.337566770611325,1.087659711702762,ML,0.8,188,2022-11-08,Unknown
-6.408599345014398,-50.33505550630673,1.1680671889386636,ML,0.79,189,2022-11-11,Unknown
-6.410079362180033,-50.32547779408304,1.1470456462384808,ML,0.79,190,2022-11-30,Unknown
-6.401428522479261,-50.33685513420757,0.7548865872782278,ML,0.79,191,2022-12-13,Unknown
-6.401058295672983,-50.337352930216696,0.8737329153422002,ML,0.8,192,2022-12-22,Unknown
-6.401058295672983,-50.337352930216696,1.0818170283830737,ML,0.8,193,2022-12-29,Unknown
-6.403518972097937,-50.337566770611325,1.1470456462384808,ML,0.8,194,2023-01-13,Unknown
-6.403518972097937,-50.337566770611325,1.1534169175697802,ML,0.8,195,2023-01-20,Unknown
-6.407637792267373,-50.332958946258096,1.1470456462384808,ML,0.79,196,2023-01-31,Unknown
-6.400306493509394,-50.32959574866014,1.1004347161768475,ML,0.78,197,2023-02-17,Unknown
-6.403518972097937,-50.337566770611325,1.1180455380639898,ML,0.8,198,2023-02-22,Unknown
-6.407637792267373,-50.332958946258096,1.127575285545654,ML,0.79,199,2023-02-28,Unknown
-6.409576998085683,-50.32867038076872,1.2520132347422974,ML,0.77,200,2023-02-28,Unknown
-6.403977527258883,-50.33542317725533,1.1004347161768475,ML,0.79,201,2023-03-03,Unknown
-6.403518972097937,-50.337566770611325,1.1004347161768475,ML,0.8,202,2023-03-07,Unknown
-6.403977527258883,-50.33542317725533,1.1534169175697802,ML,0.79,203,2023-03-10,Unknown
-6.403977527258883,-50.33542317725533,1.1004347161768475,ML,0.79,204,2023-03-31,Unknown
-6.410322524108913,-50.33157198536834,0.9806590840262137,ML,0.78,205,2023-04-07,Unknown
-6.403518972097937,-50.337566770611325,1.1180455380639898,ML,0.8,206,2023-04-07,Unknown
-6.399495454927977,-50.3319477558355,1.1127275283179747,ML,0.79,207,2023-04-14,Unknown
-6.403977527258883,-50.33542317725533,1.1127275283179747,ML,0.79,208,2023-04-14,Unknown
-6.407130441094276,-50.33234473206203,1.1856780108258058,ML,0.8,209,2023-04-21,Unknown
-6.410833717590545,-50.335143035570816,0.9620413962324397,ML,0.78,210,2023-05-05,Unknown
-6.402812320185711,-50.33671771615225,1.1219778296232685,ML,0.77,211,2023-05-12,Unknown
-6.406317774031465,-50.333448941484086,1.1421840505925407,ML,0.78,212,2023-05-18,Unknown
-6.402366695197774,-50.327920262103305,1.1004347161768475,ML,0.78,213,2023-05-28,Unknown
-6.406052082997265,-50.33783477192584,1.148249791275045,ML,0.8,214,2023-05-31,Unknown
-6.407522456574524,-50.34171201094232,0.9620413962324397,ML,0.8,215,2023-06-09,Unknown
-6.407709509028386,-50.33945120204177,1.0605005822119287,ML,0.8,216,2023-06-09,Unknown
-6.404980245472605,-50.32744664929106,1.087659711702762,ML,0.78,217,2023-06-14,Unknown
-6.408498857146828,-50.341303856165,0.7892047051987341,ML,0.79,218,2023-06-19,Unknown
-6.411477451984959,-50.33629962051054,1.0460217158153888,ML,0.78,219,2023-06-22,Unknown
-6.407709509028386,-50.33945120204177,1.0620703243413114,ML,0.8,220,2023-07-07,Unknown
-6.4026119150773075,-50.3356329133107,1.136003203622951,ML,0.79,221,2023-07-14,Unknown
-6.411477451984959,-50.33629962051054,1.1004347161768475,ML,0.78,222,2023-07-19,Unknown
-6.402701783053716,-50.32822725757706,1.1661767549529252,ML,0.76,223,2023-07-31,Unknown
-6.400383869985762,-50.333447595719164,0.8962053328752826,ML,0.78,224,2023-08-04,Unknown
-6.407259956222016,-50.334559916379916,1.1180455380639898,ML,0.79,225,2023-08-04,Unknown
-6.405438955816902,-50.33237405727061,1.1421840505925407,ML,0.8,226,2023-08-18,Unknown
-6.4060530422167075,-50.33159562725261,1.164656468125623,ML,0.8,227,2023-09-08,Unknown
-6.400393419855209,-50.33383639515795,1.0279841187562893,ML,0.76,228,2023-09-08,Unknown
-6.406137216692196,-50.34780826706071,0.7916085601051426,ML,0.76,229,2023-09-18,Unknown
-6.4049870067509085,-50.33262782657174,0.4656818820794937,ML,0.78,230,2023-09-22,Unknown
-6.404789067914581,-50.32651555288221,1.0743631364824386,ML,0.75,231,2023-09-22,Unknown
-6.410345959801508,-50.33568620613957,1.1180455380639898,ML,0.76,232,2023-09-22,Unknown
-6.40051648200118,-50.33806795800308,0.7951814024521906,ML,0.76,233,2023-09-29,Unknown
-6.396875770539091,-50.334672822439245,1.0173810568531287,ML,0.69,234,2023-10-10,Unknown
