date,x,y,z,Q
09/06/2023,575994,9292510,0.72,702
14/06/2023,574425,9292020,0.78,675
22/06/2023,573445,9291302,0.78,594
30/06/2023,574376,9291979,0.78,648
30/06/2023,575644,9292507,0.72,756
30/06/2023,575944,9292470,0.72,756
07/07/2023,575944,9292470,0.72,399
07/07/2023,575644,9292507,0.72,702
14/07/2023,575830,9292909,0.73,100
14/07/2023,575944,9292470,0.72,761
19/07/2023,574063,9291300,0.78,594
27/07/2023,575944,9292470,0.72,624
31/07/2023,574063,9291300,0.78,594
31/07/2023,574290,9292231,0.76,859
04/08/2023,574290,9292231,0.76,728
04/08/2023,573589,9291728,0.79,741
11/08/2023,574215,9291808,0.79,891
15/08/2023,575944,9292470,0.72,594
18/08/2023,575904,9292993,0.63,103
18/08/2023,573831,9291929,0.8,798
22/08/2023,574063,9291300,0.78,540
28/08/2023,575973,9292545,0.71,350
29/08/2023,574215,9291808,0.79,810
08/09/2023,573917,9291861,0.8,855
22/09/2023,574479,9292000,0.75,648
22/09/2023,573464,9291387,0.76,741
22/09/2023,575008,9291434,0.76,729
29/09/2023,573900,9291518,0.76,648
10/10/2023,575780,9292861,0.72,100
10/10/2023,576037,9292947,0.71,285
13/10/2023,573907,9291859,0.78,684
13/10/2023,574232,9292484,0.76,622
25/10/2023,574291,9292537,0.77,275
25/10/2023,576301,9292510,0.69,729
31/10/2023,574392,9292439,0.77,275
10/11/2023,574011,9292506,0.76,798
10/11/2023,573369,9292182,0.76,769
17/11/2023,573637,9292283,0.78,756
24/11/2023,574525,9291516,0.77,684
24/11/2023,575035,9291631,0.71,684
24/11/2023,575891,9292829,0.72,270
30/11/2023,575592,9292510,0.71,567
30/11/2023,576307,9292755,0.71,540
04/12/2023,576177,9292525,0.7,729
26/01/2024,576231,9292735,0.7,570
26/01/2024,576503,9292558,0.73,270
31/01/2024,576553,9292583,0.73,287
31/01/2024,575883,9292765,0.68,283
06/02/2024,575982,9292849,0.69,156
09/02/2024,575927,9292812,0.69,286
14/02/2024,574489,9292430,0.75,72
16/02/2024,575820,9292751,0.69,405
29/02/2024,573902,9292459,0.75,728
01/03/2024,574294,9292504,0.74,72
05/03/2024,574342,9292456,0.74,72
05/03/2024,573555,9291493,0.76,675
15/03/2024,573755,9291557,0.76,656
28/03/2024,573860,9291663,0.76,684
28/03/2024,573316,9291808,0.76,675
28/03/2024,574149,9292676,0.75,96
01/09/2022,576378,9292768,0.73,400
01/09/2022,574485,9291522,0.79,969
06/09/2022,574351,9292389,0.79,250
27/09/2022,574249,9292307,0.73,594
30/09/2022,574435,9291585,0.79,891
07/10/2022,575885,9292758,0.7,730
21/10/2022,576177,9292382,0.64,972
21/10/2022,573257,9292142,0.8,594
28/10/2022,575885,9292758,0.7,297
11/11/2022,573534,9291580,0.79,864
16/11/2022,574085,9292468,0.78,648
22/11/2022,576236,9292835,0.73,432
30/11/2022,575580,9292967,0.75,189
30/11/2022,574593,9291415,0.79,810
07/12/2022,575735,9292667,0.74,735
16/12/2022,575735,9292667,0.74,270
22/12/2022,573281,9292414,0.8,350
29/12/2022,575968,9292922,0.73,125
29/12/2022,573281,9292414,0.8,663
06/01/2023,574145,9292355,0.78,702
06/01/2023,576202,9292515,0.72,810
13/01/2023,573257,9292142,0.8,810
20/01/2023,576202,9292515,0.72,756
20/01/2023,573257,9292142,0.8,826
27/01/2023,574198,9292268,0.78,540
31/01/2023,573766,9291686,0.79,810
08/02/2023,575713,9292712,0.73,270
08/02/2023,573766,9291686,0.79,810
11/02/2023,574139,9292496,0.78,756
17/02/2023,574139,9292496,0.78,702
22/02/2023,573257,9292142,0.8,741
28/02/2023,573766,9291686,0.79,763
28/02/2023,574240,9291471,0.77,1118
03/03/2023,573494,9292091,0.79,702
07/03/2023,573257,9292142,0.8,702
10/03/2023,573494,9292091,0.79,826
10/03/2023,574139,9292496,0.78,595
17/03/2023,575713,9292712,0.73,456
31/03/2023,576065,9292848,0.72,540
31/03/2023,573494,9292091,0.79,702
07/04/2023,573919,9291389,0.78,486
07/04/2023,573257,9292142,0.8,741
14/04/2023,573879,9292586,0.79,729
14/04/2023,573494,9292091,0.79,729
21/04/2023,573834,9291742,0.8,912
30/04/2023,575805,9292632,0.71,752
15/05/2023,574324,9292268,0.78,416
18/05/2023,573712,9291832,0.78,798
28/05/2023,574324,9292268,0.78,702
09/06/2023,575944,9292470,0.72,702
22/06/2023,573396,9291262,0.78,594
30/06/2023,574376,9291979,0.78,648
30/06/2023,575644,9292507,0.72,756
30/06/2023,575944,9292470,0.72,756
07/07/2023,575644,9292507,0.72,702
14/07/2023,575830,9292909,0.73,100
14/07/2023,575944,9292470,0.72,761
14/07/2023,573471,9292242,0.79,783
19/07/2023,574063,9291300,0.78,594
27/07/2023,575944,9292470,0.72,624
31/07/2023,574290,9292231,0.76,859
04/08/2023,574290,9292231,0.76,728
11/08/2023,574215,9291808,0.79,891
15/08/2023,575944,9292470,0.72,594
18/08/2023,575904,9292993,0.63,103
18/08/2023,573831,9291929,0.8,798
22/08/2023,574063,9291300,0.78,540
29/08/2023,574215,9291808,0.79,810
08/09/2023,573917,9291861,0.8,855
08/09/2023,573670,9292487,0.76,562
15/09/2023,573908,9292346,0.76,138
18/09/2023,572124,9291854,0.76,272
22/09/2023,574479,9292000,0.75,648
22/09/2023,575008,9291434,0.76,729
29/09/2023,573900,9291518,0.76,648
10/10/2023,573578,9292876,0.69,544
10/10/2023,575780,9292861,0.72,100
10/10/2023,576037,9292947,0.71,285
13/10/2023,573619,9291721,0.79,741
13/10/2023,573907,9291859,0.78,684
13/10/2023,574232,9292484,0.76,622
25/10/2023,573275,9292619,0.77,488
25/10/2023,574291,9292537,0.77,275
25/10/2023,576301,9292510,0.69,729
31/10/2023,574392,9292439,0.77,275
31/10/2023,573806,9292315,0.79,798
10/11/2023,573844,9292647,0.78,500
10/11/2023,574011,9292506,0.76,798
10/11/2023,573369,9292182,0.76,769
10/11/2023,574392,9292439,0.77,275
17/11/2023,572991,9291412,0.79,175
17/11/2023,573626,9291763,0.78,741
17/11/2023,573637,9292283,0.78,756
24/11/2023,574525,9291516,0.77,684
24/11/2023,575035,9291631,0.71,684
24/11/2023,575891,9292829,0.72,270
30/11/2023,573271,9292724,0.76,275
30/11/2023,575592,9292510,0.71,567
30/11/2023,576307,9292755,0.71,540
04/12/2023,576177,9292525,0.7,729
08/12/2023,574024,9292629,0.75,891
12/12/2023,573320,9291796,0.8,702
20/12/2023,573227,9292659,0.76,175
20/12/2023,574342,9292486,0.76,413
29/12/2023,574040,9292681,0.77,734
29/12/2023,573783,9292345,0.78,762
06/01/2024,575684,9292687,0.7,413
06/01/2024,573713,9292329,0.79,713
12/01/2024,573581,9291652,0.78,729
12/01/2024,574374,9292573,0.76,183
12/01/2024,576252,9292622,0.7,562
16/01/2024,574123,9292697,0.75,162
19/01/2024,573444,9291805,0.78,741
19/01/2024,573606,9292330,0.77,712
25/01/2024,574217,9292418,0.75,413
25/01/2024,574374,9292573,0.76,125
26/01/2024,576231,9292735,0.7,570
26/01/2024,576503,9292558,0.73,270
31/01/2024,576553,9292583,0.73,287
31/01/2024,575883,9292765,0.68,283
31/01/2024,574131,9292520,0.75,405
31/01/2024,573745,9291762,0.8,798
06/02/2024,575982,9292849,0.69,156
06/02/2024,574215,9292509,0.74,222
06/02/2024,574464,9292484,0.75,108
06/02/2024,572132,9291814,0.72,705
09/02/2024,573274,9291627,0.76,684
09/02/2024,575927,9292812,0.69,286
14/02/2024,574030,9292412,0.75,182
14/02/2024,574304,9292423,0.74,103
14/02/2024,574489,9292430,0.75,72
16/02/2024,574263,9292466,0.74,103
16/02/2024,574150,9292716,0.75,103
16/02/2024,575820,9292751,0.69,405
20/02/2024,574344,9292350,0.74,103
20/02/2024,574049,9292756,0.75,140
23/02/2024,574294,9292681,0.75,46
23/02/2024,574252,9292544,0.74,72
29/02/2024,573141,9291634,0.76,670
29/02/2024,573628,9291503,0.76,627
29/02/2024,573902,9292459,0.75,728
01/03/2024,574294,9292504,0.74,72
05/03/2024,574342,9292456,0.74,72
05/03/2024,573555,9291493,0.76,675
05/03/2024,573020,9291640,0.76,540
08/03/2024,573952,9291227,0.76,283
08/03/2024,573533,9291700,0.76,741
13/03/2024,574376,9292403,0.74,72
13/03/2024,574533,9292439,0.74,46
15/03/2024,573169,9291503,0.76,624
15/03/2024,573755,9291557,0.76,656
20/03/2024,573084,9291445,0.76,485
20/03/2024,574498,9292496,0.74,46
22/03/2024,573934,9291622,0.76,656
22/03/2024,574180,9292702,0.75,72
22/03/2024,574235,9292540,0.74,300
22/03/2024,574349,9292614,0.75,200
28/03/2024,573860,9291663,0.76,684
28/03/2024,573316,9291808,0.76,675
28/03/2024,574149,9292676,0.75,96
11/11/2022,573534,9291580,0.79,864
22/12/2022,573281,9292414,0.8,350
12/05/2023,573351,9292220,0.77,750
28/05/2023,574324,9292268,0.78,702
31/05/2023,573227,9291862,0.8,813
07/07/2023,573048,9291679,0.8,624
14/07/2023,573471,9292242,0.79,783
31/07/2023,574290,9292231,0.76,859
18/08/2023,573831,9291929,0.8,798
08/09/2023,573831,9291929,0.8,712
18/09/2023,572124,9291854,0.76,272
25/10/2023,573275,9292619,0.77,488
10/11/2023,574011,9292506,0.76,798
10/11/2023,573369,9292182,0.76,769
17/11/2023,573626,9291763,0.78,741
17/11/2023,573637,9292283,0.78,756
30/11/2023,573271,9292724,0.76,275
12/12/2023,573320,9291796,0.8,702
20/12/2023,572294,9291899,0.76,188
29/12/2023,574040,9292681,0.77,734
29/12/2023,573783,9292345,0.78,762
12/01/2024,574374,9292573,0.76,183
19/01/2024,573444,9291805,0.78,741
06/02/2024,572132,9291814,0.72,705
09/02/2024,573274,9291627,0.76,684
23/02/2024,573114,9291716,0.76,627
27/02/2024,573005,9291631,0.76,439
29/02/2024,572085,9291861,0.72,260
29/02/2024,573141,9291634,0.76,670
05/03/2024,573555,9291493,0.76,675
05/03/2024,573020,9291640,0.76,540
08/03/2024,573533,9291700,0.76,741
15/03/2024,572136,9291899,0.72,260
20/03/2024,573084,9291445,0.76,485
22/03/2024,573934,9291622,0.76,656
28/03/2024,573860,9291663,0.76,684
28/03/2024,573316,9291808,0.76,675
31/10/2023,573405,9291271,0.76,648
31/10/2023,573806,9292315,0.79,798
10/11/2023,573369,9292182,0.76,769
17/11/2023,573626,9291763,0.78,741
17/11/2023,573637,9292283,0.78,756
30/11/2023,573271,9292724,0.76,275
12/12/2023,573320,9291796,0.8,702
20/12/2023,572294,9291899,0.76,188
20/12/2023,573227,9292659,0.76,175
29/12/2023,573783,9292345,0.78,762
12/01/2024,573581,9291652,0.78,729
19/01/2024,573444,9291805,0.78,741
25/01/2024,574217,9292418,0.75,413
31/01/2024,573745,9291762,0.8,798
06/02/2024,572132,9291814,0.72,705
09/02/2024,573274,9291627,0.76,684
20/02/2024,573410,9291802,0.76,675
23/02/2024,573114,9291716,0.76,627
27/02/2024,573005,9291631,0.76,439
29/02/2024,572085,9291861,0.72,260
29/02/2024,573141,9291634,0.76,670
29/02/2024,573628,9291503,0.76,627
05/03/2024,574342,9292456,0.74,72
05/03/2024,573555,9291493,0.76,675
05/03/2024,573020,9291640,0.76,540
08/03/2024,573505,9291509,0.76,684
15/03/2024,572136,9291899,0.72,260
15/03/2024,573169,9291503,0.76,624
15/03/2024,573755,9291557,0.76,656
20/03/2024,573084,9291445,0.76,485
22/03/2024,573934,9291622,0.76,656
28/03/2024,573860,9291663,0.76,684
28/03/2024,573316,9291808,0.76,675
